版本 1.0.1 更新内容：
069687c 2025-07-31 CrazySpottedDove 优化路径显示效果为动态虚线
49987d7 2025-07-31 CrazySpottedDove 禁止了星界镜像的调集
278dc59 2025-07-31 CrazySpottedDove 允许了鼠标悬浮展示敌人路线
a012059 2025-07-31 CrazySpottedDove 优化了塞莉恩施加护盾的锁友机制; 让安雅死前打出的吸血打击可以通过吸血让安雅活下来
cd2b5d6 2025-07-31 CrazySpottedDove 提升了赛里恩加盾的数量上限，但是削弱护盾的数值
054d9cf 2025-07-31 CrazySpottedDove 下调仙女龙控制时间10%，提升伤害10%
d5b9ee5 2025-07-31 CrazySpottedDove 给国王添加出场时塔的价格下降5%的被动；使安雅使用技能也计入近战计数，但是下调吸血量
feec8d7 2025-07-31 CrazySpottedDove 使电塔的连锁闪电附带提升连锁范围的效果
b348088 2025-07-31 CrazySpottedDove fix all
6339796 2025-07-31 CrazySpottedDove 优化沙塔的索敌
486feec 2025-07-31 CrazySpottedDove 修复了但丁灵魂体伤害为物伤的问题；增强了赛里恩的技能衔接能力
e9fed65 2025-07-30 CrazySpottedDove 添加英雄：塞莉恩
1fc6705 2025-07-30 CrazySpottedDove bug fix some
2e3297c 2025-07-30 CrazySpottedDove 添加了彩蛋：在但丁和安雅同时上场时，安雅的大招从召唤但丁改为提升自身的伤害。复活被动技能依旧生效
982e6b9 2025-07-30 CrazySpottedDove 略微提升了树人的攻速
f4562b9 2025-07-30 CrazySpottedDove 加强沙塔
f22aa35 2025-07-29 CrazySpottedDove 优化了安雅的射击状态逻辑，提升了手感
7a12e3d 2025-07-29 CrazySpottedDove 略微提升沙塔技能数值，并使净化协议带有强控。使安雅银白风暴被打断时返还cd
22967be 2025-07-29 CrazySpottedDove 优化了移速系统的性能
8a2e1a2 2025-07-29 CrazySpottedDove 修复了部分情况下安雅的移动前摇问题；使安雅银白风暴期间保持无敌
0625f8f 2025-07-29 CrazySpottedDove 添加英雄：安雅
9a3c820 2025-07-29 CrazySpottedDove 削弱了大蜘蛛生产小蜘蛛的能力；优化了沉默，使得沉默期间敌人技能不再会cd
460ea23 2025-07-28 CrazySpottedDove 使英雄的传送距离和近战索敌距离一致
2a484b0 2025-07-28 CrazySpottedDove 恢复天十正常的传送距离
4dede24 2025-07-28 CrazySpottedDove 修复了暂停时，援兵、火雨继续冷却的bug
c10eda4 2025-07-28 CrazySpottedDove 放大了英雄殿堂
6187619 2025-07-28 CrazySpottedDove 使艾莉丹近战时可以连射；使艾莉丹闪避可以加快近战技能的冷却；优化了雷格森隐袭的攻击逻辑
da0b947 2025-07-27 CrazySpottedDove 减少了海盗瞭望塔一技能的消费
b856a85 2025-07-27 CrazySpottedDove 提升了卢克蕾齐亚的成长上限
55c9ce9 2025-07-27 CrazySpottedDove 削弱了尖刺余烬深渊的难度
8fe86bf 2025-07-27 CrazySpottedDove 略微下调了图腾塔的技能价格
1f7a009 2025-07-27 CrazySpottedDove 让弩堡的连射优先索敌空军
efdd6b2 2025-07-27 CrazySpottedDove 使箭塔优先索敌空军
0af68c2 2025-07-27 CrazySpottedDove 略微下调了高等精灵法师的价格
2f088be 2025-07-27 CrazySpottedDove 略微加强雷神
6d79e80 2025-07-27 CrazySpottedDove fix all
829fcbd 2025-07-27 CrazySpottedDove 使浮士德的传送附带伤害
f81841b 2025-07-27 CrazySpottedDove 使点击龙卷风技能可以提升大法召唤法球的概率
0a88718 2025-07-27 CrazySpottedDove 使奥术法师的传送附带伤害
738de9c 2025-07-27 CrazySpottedDove 修复幻影原地闪避的问题
7763a83 2025-07-27 CrazySpottedDove 修复无自定义配置时不加载默认配置的问题
2e23406 2025-07-27 CrazySpottedDove 部分优化
ab3af00 2025-07-27 CrazySpottedDove 修复了玛丽西娅攻击时卡死的问题
17319e2 2025-07-27 CrazySpottedDove 使特殊出怪口同样接受多倍出怪影响
cc33c3e 2025-07-26 CrazySpottedDove 补充必读说明
96d4fba 2025-07-26 CrazySpottedDove 开放了较多配置项
5e4a5a6 2025-07-26 CrazySpottedDove 削弱了长战役模式下的敌军生命增长。略微削弱萨雷格兹的血量。
c5da43d 2025-07-26 CrazySpottedDove 减少了天十从大老头形态变成小老头形态的后摇
94aecc8 2025-07-26 CrazySpottedDove 使天十在大老头形态需要远距离位移时优先变回小老头然后瞬移
4cea327 2025-07-26 CrazySpottedDove 使天十在大老头形态火雨准备就绪时，会先变回小老头放火雨，并返还一定变大老头技能冷却
15f007c 2025-07-26 CrazySpottedDove 使天十变回老头期间无敌
0c36e3e 2025-07-26 CrazySpottedDove 减少了高达每轮黄蜂导弹之间的动画后摇
d46c051 2025-07-26 CrazySpottedDove 使游侠的毒箭可以减速10%，并让敌人被捆绑的时间更久。优化了游侠技能花费的分布
e0bef09 2025-07-26 CrazySpottedDove bug fix
30bcea1 2025-07-26 CrazySpottedDove 继续进行部分优化
95a9f9a 2025-07-26 CrazySpottedDove 修复部分子弹永远飞行不到目的地的问题
b3b6a0f 2025-07-25 CrazySpottedDove 略微优化了箭塔的索敌命中率
2273361 2025-07-25 CrazySpottedDove 进一步优化了小公主和大法的索敌
6f30156 2025-07-25 CrazySpottedDove 统一了不可能难度下敌人后期生命调整的钩子
00d31bd 2025-07-25 CrazySpottedDove 修复敌人的炮弹对我方陆军不造成伤害的问题
bbe69f6 2025-07-25 CrazySpottedDove 针对modifier效果的查询进行了优化
899e845 2025-07-25 CrazySpottedDove 进行了针对选取敌人和士兵的大胆优化
920b6f9 2025-07-25 CrazySpottedDove 尝试为锁敌进行特殊优化
94a1640 2025-07-25 CrazySpottedDove 优化：将渲染帧使用的排序算法从插入排序优化至快速排序
b7774dc 2025-07-25 CrazySpottedDove 使猴神的猴掌可以造成混合伤害
a1b9235 2025-07-25 CrazySpottedDove 略微提升了猴神两个技能的伤害
797fe84 2025-07-25 CrazySpottedDove 调整沙王连斩冷却
99a9eb7 2025-07-25 CrazySpottedDove 使羊被点爆的次数和其生命值有关
d98179d 2025-07-25 CrazySpottedDove 使特殊出怪口衍生的怪物生命在不可能难度下同样受后期生命成长的影响
a32ad56 2025-07-24 CrazySpottedDove 优化了沙王新效果的美术效果
2ae3356 2025-07-24 CrazySpottedDove fix
d9e9635 2025-07-24 CrazySpottedDove 使沙王接收到灵魂球时，可以使连斩的剩余冷却时间减少10%。
b7a8b05 2025-07-24 CrazySpottedDove 使沙兵死亡后会变成光球，回到沙王身边并为沙王提供低额回复
27948fb 2025-07-24 CrazySpottedDove 使沙王远距离支援时可以变成沙卷风，加快支援速度
59b16d3 2025-07-23 CrazySpottedDove 修复螃蟹出土对空军可以造成伤害和眩晕的bug；宽泛化女巫生成骷髅的机制，现在任何敌军死亡或者任何可以变成骷髅的友军死亡，都会产生骷髅头
5717658 2025-07-23 CrazySpottedDove 修复螃蟹水泡尺寸异常的问题
1e7b476 2025-07-23 CrazySpottedDove fix
9c2178a 2025-07-23 CrazySpottedDove 为螃蟹的水泡添加了少量溅射范围成长
56e0846 2025-07-23 CrazySpottedDove 使多个电塔重复命中敌人时不会丢伤害
d1dd464 2025-07-23 CrazySpottedDove 解决奥法秒杀在敌人数值过高时尴尬的情况，让它秒杀返还cd计算中的零返还血量和游戏难度相关
0bae79a 2025-07-23 CrazySpottedDove 修复有时 modifier.damage_factor 和 aura.damage_factor 为空时带来的错误问题
2a7fa6f 2025-07-23 CrazySpottedDove 减少螃蟹水炮的飞行时间，以提高准确度
0c6ca64 2025-07-23 CrazySpottedDove 修复了电塔无法吃到加伤加成的问题
4be01e4 2025-07-23 CrazySpottedDove 允许了冰女冰锥对空
d30a876 2025-07-23 CrazySpottedDove 优化了近战英雄的护甲成长曲线，优化近战英雄的前期体验
178bb9c 2025-07-23 CrazySpottedDove 移除了所有箭矢的 prediction_error，以一定程度提升箭矢的精确度
b504bfa 2025-07-22 CrazySpottedDove 优化螃蟹远程技能索敌
cf24a40 2025-07-22 CrazySpottedDove 优化大法索敌，优化螃蟹远程技能表现与索敌检查
dd8c665 2025-07-22 CrazySpottedDove 回调海盗强度
2271c92 2025-07-22 CrazySpottedDove 恢复螃蟹水泡的减速效果成长
cbaf015 2025-07-22 CrazySpottedDove 减小螃蟹的遁地前后摇，减小螃蟹的水炮前后摇，添加螃蟹遁地时的持续加速效果，且当加速到一定速度时，出土附带范围晕眩和与移速相关的炮伤。
8c59d99 2025-07-21 CrazySpottedDove 减少了需要加载的中文字体文件
7f0f740 2025-07-21 CrazySpottedDove 补充文档
0f8806b 2025-07-21 CrazySpottedDove 为暮光一英雄添加了100的初始资金
8482a48 2025-07-21 CrazySpottedDove 修复了银橡森林战役模式第五波才提示解锁游侠箭塔的问题
bfef7d9 2025-07-21 CrazySpottedDove del
82c4e00 2025-07-21 CrazySpottedDove del
5ba06bb 2025-07-21 CrazySpottedDove 使火龙的烟雾拥有伤害
0350c4c 2025-07-21 CrazySpottedDove 删除了允许火龙火焰叠加的特性
184cfe0 2025-07-21 CrazySpottedDove 优化火龙吞食的结算逻辑；使火龙的火焰可以叠加
47a000b 2025-07-20 CrazySpottedDove 为鬼侍的低血加伤效果添加特效
eff3f93 2025-07-20 CrazySpottedDove 添加敌人修改明细
d6f5833 2025-07-20 CrazySpottedDove 修复敌方陆军生命增益异常的问题
1fa92e4 2025-07-20 CrazySpottedDove 消除部分快速点击导致技能升级刷新不完全的问题
45b8be8 2025-07-20 CrazySpottedDove 修复塔被移除后，原本施加于塔的buff被移除时会崩溃的问题
6ef1c86 2025-07-20 CrazySpottedDove 使老兵难度第六波后的每小波间隔逐次减少
b89b0ed 2025-07-20 CrazySpottedDove 修复意外对boss施加modifier的问题
75c5fcc 2025-07-20 CrazySpottedDove bug fix
f52e55a 2025-07-20 CrazySpottedDove 添加敌人在第7波次后的生命成长
bd4aaa2 2025-07-20 CrazySpottedDove 部分优化，并添加我方单位的嘲讽机制
8e5e476 2025-07-20 CrazySpottedDove 微弱的性能优化
9972f47 2025-07-20 CrazySpottedDove format
5a8c4d5 2025-07-19 CrazySpottedDove 暂时取消了使用 max_targets 机制处理多重拦截的想法
ce40c02 2025-07-19 CrazySpottedDove 减少部分声音资源的加载
f6993e0 2025-07-19 CrazySpottedDove 尝试优化了倍速性能，虽然不知道效果明不明显()
2ef5a91 2025-07-19 CrazySpottedDove 减少部分加载资源，修复了三级炮塔的攻击动画错误问题
2ee929f 2025-07-19 CrazySpottedDove Clear Draft... Try to convert soldier.target_id to soldier.target_ids
b6c0399 2025-07-18 CrazySpottedDove 修复黄金长弓血色审判箭矢抗性计算异常的问题
58ad0f1 2025-07-18 CrazySpottedDove 修复格劳尔buff动画的表现问题
cc2e62a 2025-07-18 CrazySpottedDove 现在点击友方单位可以显示他的拦截范围和远程攻击范围
8fa7c9f 2025-07-18 CrazySpottedDove 使迪纳斯投石可以主动对空
e62e6c0 2025-07-18 CrazySpottedDove 允许迪纳斯的buff对于兵营生效
e9ecb93 2025-07-18 CrazySpottedDove 修复冷却缩减buff施加到高达上导致崩溃的问题
6ec402c 2025-07-18 CrazySpottedDove 统一了冷却缩减的作用方式，使冷却缩减效果对所有防御塔都生效
7b7bb33 2025-07-17 CrazySpottedDove 使丹哥的近战技能无法被闪避，且在自身闪避依旧生效的情况下不会被闪避打断
54a1242 2025-07-17 CrazySpottedDove 使刺客偷袭期间的闪避依旧有效，但是偷袭将不会被闪避动作打断；修正刺客偷袭技能的文本描述
439a0d5 2025-07-17 CrazySpottedDove 为日光塔的击杀添加金币特效
76fc89f 2025-07-17 CrazySpottedDove 下调浮士德单根龙枪的伤害，但是允许龙枪尿分叉
a9219ff 2025-07-17 CrazySpottedDove 修复蓝箭可以催眠boss的问题
a614321 2025-07-17 CrazySpottedDove 修复火箭骑兵加速导致的崩溃问题
a32d2b4 2025-07-17 CrazySpottedDove 加快卡莎的升级速度
a7f59bc 2025-07-17 CrazySpottedDove 解决了对特殊路径敌人传送会导致敌人无敌和无法选中的问题
2f534a4 2025-07-16 CrazySpottedDove 优化雷格森和鲁林新技能的表现
4184f27 2025-07-16 CrazySpottedDove 降低雷格森影袭技能的冷却
c55ff3d 2025-07-16 CrazySpottedDove 优化雷格森大招索敌；优化雷格森影袭技能的表现
f9a68a4 2025-07-16 CrazySpottedDove 略微降低爆裂箭的价格
412cf82 2025-07-16 CrazySpottedDove 提升女巫的成长上限
6a39e36 2025-07-16 CrazySpottedDove 修正部分近战伤害的类型
09ab7ce 2025-07-16 CrazySpottedDove 让小公主的成长曲线更为平滑
5b1d983 2025-07-16 CrazySpottedDove 调整蓝箭的箭矢为混伤；优化了鲁林的技能击杀敌人的特效；提高莉莉丝大招的冷却，让莉莉丝的近战技能无法被闪避
edf9afb 2025-07-16 CrazySpottedDove 下调毒箭升级的价格；下调矮人酒桶解锁的价格
abff365 2025-07-16 CrazySpottedDove 消除冗余判断
75dfdbe 2025-07-16 CrazySpottedDove 修正了鲁林放技能时的朝向问题
b6284e8 2025-07-16 CrazySpottedDove 修正了铁皮的移速系统
971b731 2025-07-16 CrazySpottedDove 添加鲁林的技能描述
5bd66f4 2025-07-16 CrazySpottedDove 为鲁林的大地之力添加生命恢复效果
c8575df 2025-07-16 CrazySpottedDove 修复英雄殿堂头像偏移问题
61428d6 2025-07-16 CrazySpottedDove 添加英雄：鲁林
a6ac01d 2025-07-16 CrazySpottedDove 为蓝箭的爆裂箭矢添加智能索敌
a1d26b9 2025-07-16 CrazySpottedDove 给雷格森添加了cooooooooooooool的技能：影袭
8795458 2025-07-15 CrazySpottedDove 优化了虚弱图腾的索敌
010f83f 2025-07-15 CrazySpottedDove 允许了螃蟹的弹簧钳子对单体使用；提升了螃蟹被动加伤上限
abd418f 2025-07-15 CrazySpottedDove 允许螃蟹的水炮对空；优化了哥布林爆破手、沼泽巨人攻击我方空中单位时的动画表现；修复了弓箭无法携带多个额外效果的问题
d2d9c50 2025-07-15 CrazySpottedDove 允许格劳尔石头对空
1ebfe5b 2025-07-15 CrazySpottedDove 提升格劳尔被动加伤数值，并略微提升格劳尔的移速
ee56ee3 2025-07-15 CrazySpottedDove 下调大德的价格
5f2abdd 2025-07-15 CrazySpottedDove 优化大德的索敌
105bb6c 2025-07-15 CrazySpottedDove 优化大德的索敌
311db16 2025-07-15 CrazySpottedDove 为大树的火焰添加火伤 flag
b622911 2025-07-15 CrazySpottedDove 优化终结技能索敌
6f51bc7 2025-07-14 CrazySpottedDove 提升雷格森异能刃秒杀的概率
a10f77d 2025-07-14 CrazySpottedDove 加强女巫
c04afa5 2025-07-14 CrazySpottedDove 加强女巫
14acdac 2025-07-14 CrazySpottedDove 修改了女巫骷髅的生成机制
394a5df 2025-07-14 CrazySpottedDove 加强女巫
593d1c6 2025-07-14 CrazySpottedDove 修复大德的熊不能点击调集的问题
d4d723e 2025-07-14 CrazySpottedDove 让迪纳斯的吃鸡腿和照相可打断，照相打断返还部分cd；鸡腿添加的增伤buff持续时间增长
6e4fcdd 2025-07-14 CrazySpottedDove 让林恩的诅咒范围大于触发范围
11af4a6 2025-07-14 CrazySpottedDove 发布到贴吧
e68e5ff 2025-07-14 CrazySpottedDove 修复林恩的概率免疫伤害不生效问题
cf8e326 2025-07-14 CrazySpottedDove 修复部分单位的info函数未赋值的问题
b2fe014 2025-07-13 CrazySpottedDove 加强丹哥
938eb74 2025-07-13 CrazySpottedDove 加强迪纳斯
6f56857 2025-07-13 CrazySpottedDove 提升林恩爆炸的范围
170ada9 2025-07-13 CrazySpottedDove 现在蓝箭的睡眠箭也可以让奥术爆发附带概率睡眠
2d242f9 2025-07-13 CrazySpottedDove 尝试让蓝箭的睡眠箭效果也可以让奥术爆发附带概率睡眠
2cd12c5 2025-07-13 CrazySpottedDove 修复浮士德不低头的问题
fd2adc9 2025-07-13 CrazySpottedDove 略微削弱了林恩的诅咒爆炸伤害，但是让爆炸可以蔓延
8252a7e 2025-07-12 CrazySpottedDove 添加野蛮人狂战士
954fa47 2025-07-11 CrazySpottedDove 让嘲讽对空中单位无效
6de9086 2025-07-11 CrazySpottedDove 为憎恶添加嘲讽
19895dd 2025-07-11 CrazySpottedDove 削弱牢凡的石头
b68f641 2025-07-11 CrazySpottedDove 添加嘲讽机制
a4e46af 2025-07-10 CrazySpottedDove propable fix
2ed7e72 2025-07-10 CrazySpottedDove doc
8845c07 2025-07-10 CrazySpottedDove 削弱了莉莉丝获得复活保护的速度
48642c2 2025-07-10 CrazySpottedDove 加强布鲁斯的生命恢复
e7871e6 2025-07-10 CrazySpottedDove 提升布鲁斯的被动效果
9a41367 2025-07-10 CrazySpottedDove 提升布鲁斯触发流血的概率，降低伤害
69dfa29 2025-07-10 CrazySpottedDove final 加强库绍
fdca890 2025-07-09 CrazySpottedDove 修复重复沉默之后，后面的沉默就不生效了的问题
e760dcf 2025-07-09 CrazySpottedDove ?
51f1e00 2025-07-09 CrazySpottedDove 削弱空军生命加成
1956f37 2025-07-09 CrazySpottedDove 修复莉莉丝不触发秒杀的问题
ca37f1b 2025-07-09 CrazySpottedDove 加强莉莉丝
f608965 2025-07-08 CrazySpottedDove 为龙形拳添加无敌帧
f53eced 2025-07-08 CrazySpottedDove 移除幻影的提升范围，改为提升伤害
82d63b1 2025-07-08 CrazySpottedDove 提升库绍的成长性
b42ad5b 2025-07-08 CrazySpottedDove 降低迪纳斯战士的冷却
3f5cb16 2025-07-08 CrazySpottedDove 让老卫的大恶魔可操作
51b5e30 2025-07-08 CrazySpottedDove 调整莉莉丝
f03dd0b 2025-07-08 CrazySpottedDove 为钢锯添加攻击高甲敌人加快远程攻击冷却的被动
c44e7a5 2025-07-08 CrazySpottedDove 修复地震钻头的索敌问题
e95b1b5 2025-07-08 CrazySpottedDove 减少了树人的传送延迟
fa96080 2025-07-08 CrazySpottedDove 修复地震的索敌问题
1dc875e 2025-07-08 CrazySpottedDove 让地震的钻头不会对血量低于1000的敌人使用
2a0222b 2025-07-08 CrazySpottedDove 提升瑞格血量
017484a 2025-07-08 CrazySpottedDove 解决瑞格打断技能问题
a26c409 2025-07-08 CrazySpottedDove 为find_target_at_critical_moment 添加 vis_bans 选项
1c9e253 2025-07-08 CrazySpottedDove 加强雷神
a300376 2025-07-08 CrazySpottedDove 加强雷格森
23ef514 2025-07-07 CrazySpottedDove 为牢凡添加普攻生石头的被动
fe7cc33 2025-07-07 CrazySpottedDove 进一步提升大法的数值
33a5b77 2025-07-07 CrazySpottedDove 提升大法和紫法的数值，提升狂法的价格
51f168e 2025-07-05 CrazySpottedDove 加强了兽王的成长能力
001311b 2025-07-05 CrazySpottedDove 修复了纽维斯的普通攻击不吃法师科技的问题
5df4d4a 2025-07-04 CrazySpottedDove 修复了时间流速调整对火雨等不生效的问题
f24dc8b 2025-07-03 CrazySpottedDove 允许了幻影的技能对空
f50c9b2 2025-07-03 CrazySpottedDove 让库绍的闪避有成长，并让幻影的影子爆炸后可造成伤害
17bbd09 2025-07-03 CrazySpottedDove 减少了幻影背刺的动画时间
3c1197a 2025-07-02 CrazySpottedDove fix
8733573 2025-07-02 CrazySpottedDove 修复卫兹南近战闪烁的问题。待解决：马克瓦尔克第十波结束后卡死
5680b98 2025-07-02 CrazySpottedDove 减少前后摇
cb35ba5 2025-07-01 CrazySpottedDove 描述
aa2ab43 2025-07-01 CrazySpottedDove 减少奶妈传送的前后摇
8f705ef 2025-07-01 CrazySpottedDove 数值调整
6cf6cc8 2025-07-01 CrazySpottedDove 火枪霰弹添加远近程模式
a9e6b68 2025-07-01 CrazySpottedDove fix
a99a63a 2025-07-01 CrazySpottedDove 凤凰改为血量随升级降低
2652356 2025-07-01 CrazySpottedDove 大幅加强敌人
7dffa7f 2025-06-30 CrazySpottedDove 加强了浮士德和莉莉丝
a77a89a 2025-06-29 CrazySpottedDove 添加狂怒萨满
00353df 2025-06-28 CrazySpottedDove 下调牢凡技能冷却
44345f8 2025-06-28 CrazySpottedDove 优化了check_target_before_shot的表现
8dc1cd6 2025-06-28 CrazySpottedDove 大幅降低了纽维斯的闪现前后摇
6f25a61 2025-06-28 CrazySpottedDove 让猴子的大招被打断后可以返还cd
67148a3 2025-06-28 CrazySpottedDove 调整部分敌人生命值
8051a8b 2025-06-28 CrazySpottedDove 为猴神的火焰添加伤害
1c9fa89 2025-06-28 CrazySpottedDove 略微增强雷格森和小国王
7a7384e 2025-06-28 CrazySpottedDove 削弱了加伤效果对boss的压制力
e1c65ee 2025-06-28 CrazySpottedDove 为火枪添加霰弹的智能索敌
37ace51 2025-06-28 CrazySpottedDove 添加波尔维克
e2b28aa 2025-06-27 CrazySpottedDove 替换字体文件
1e01d5c 2025-06-26 CrazySpottedDove 添加减速和加速键
b54a913 2025-06-26 CrazySpottedDove 添加巨蛛主母
76e952f 2025-06-25 CrazySpottedDove 允许凤凰的火焰之环对兵营使用
114752d 2025-06-25 CrazySpottedDove gui fix
c0ce4b4 2025-06-25 CrazySpottedDove 略微加强了投斧手
5eaf75c 2025-06-25 CrazySpottedDove 加强了一众牢boss
86a3b29 2025-06-25 CrazySpottedDove 允许通过点击兵营士兵直接调度士兵
987030b 2025-06-24 CrazySpottedDove 修复死法光环异常
5003f47 2025-06-24 CrazySpottedDove 修复图鉴ui
dc1901d 2025-06-24 CrazySpottedDove 让科技可以被撤销
1300494 2025-06-24 CrazySpottedDove 调整前期关卡的英雄升级速度
48bb675 2025-06-24 CrazySpottedDove 修改了所有防御塔的解锁时间和英雄的解锁时间
7b4beba 2025-06-24 CrazySpottedDove 添加所有的图鉴
c600e16 2025-06-23 CrazySpottedDove 添加二代敌人图鉴
5022732 2025-06-23 CrazySpottedDove 分离了boss和普通敌人
3feec37 2025-06-23 CrazySpottedDove 优化英雄shader
cb2ab15 2025-06-23 CrazySpottedDove 添加布鲁斯英雄描述
c64d8c5 2025-06-23 CrazySpottedDove 添加了更新脚本
178620a 2025-06-22 CrazySpottedDove 下调了熊人的伤害
4ac8b51 2025-06-22 CrazySpottedDove 添加了英格瓦和爵士召唤物的速度成长
c24561c 2025-06-22 CrazySpottedDove 令英格瓦和爵士的召唤物可以全屏调集，但是不能全局调集
e2b5f2f 2025-06-22 CrazySpottedDove 削弱英格瓦的旋风斩
60b8411 2025-06-22 CrazySpottedDove 略微提升幻影的升级速度
e4c0d15 2025-06-22 CrazySpottedDove bug fixed
23fd9f9 2025-06-22 CrazySpottedDove 调整布鲁斯强度
9694162 2025-06-22 CrazySpottedDove 添加布鲁斯
201a6c9 2025-06-22 CrazySpottedDove 修复效率低下的寻路算法；优化熊人的技能衔接逻辑
804d8fb 2025-06-22 CrazySpottedDove 添加邪尸法师
130e58c 2025-06-21 CrazySpottedDove 优化了援军调集卡顿问题
72d8622 2025-06-21 CrazySpottedDove 修复了援军调集路径问题
ec80136 2025-06-21 CrazySpottedDove 修复了变节者无法解除任意毒伤的问题
8966bf1 2025-06-20 CrazySpottedDove 让猛毒爬行者和其衍生物带毒
b61d4de 2025-06-20 CrazySpottedDove 修复了德得尔的对兵营buff不生效问题
3a2e98a 2025-06-20 CrazySpottedDove 修复变节者被德得尔拉起来后反甲光环消失的问题
ba0a017 2025-06-20 CrazySpottedDove 修复高冷错误的控制沉默不移除
8851b34 2025-06-19 CrazySpottedDove 修正计算公式
c37f65d 2025-06-19 CrazySpottedDove 削弱了爆炸伤害和枪械伤害对于高甲单位的穿甲能力
4e8a18d 2025-06-19 CrazySpottedDove 添加莉莉丝的复生抵抗机制
a0f11a3 2025-06-19 CrazySpottedDove 优化攻击显示
94eda5a 2025-06-19 CrazySpottedDove 让复生的抵抗异常效果统一化接口
991d279 2025-06-19 CrazySpottedDove fix gui
650d455 2025-06-19 CrazySpottedDove fix tower_damage_factor 与高达的冲突
756f2ed 2025-06-19 CrazySpottedDove bug fix
fdf8b79 2025-06-19 CrazySpottedDove 提升艾里凡石头生命值
e90b192 2025-06-19 CrazySpottedDove 提升艾里矾近战伤害
767d166 2025-06-19 CrazySpottedDove 优化伤害显示
45e5aa7 2025-06-19 CrazySpottedDove 略微提升马利克伤害
b21c8e6 2025-06-19 CrazySpottedDove 修复modifier.type
3486ea0 2025-06-18 CrazySpottedDove 让瑞格的布偶只有受到一定伤害后才会碎裂
c088446 2025-06-17 CrazySpottedDove 解除熊猫传送路径限制
0f5a3be 2025-06-17 CrazySpottedDove 为鑫的肘击添加减速效果
486eaa1 2025-06-17 CrazySpottedDove 添加残伤图标
f7937d0 2025-06-17 CrazySpottedDove 添加真实伤害图标
cee83c9 2025-06-17 CrazySpottedDove 加强小公主和瑞格
53945a8 2025-06-17 CrazySpottedDove 添加瑞格
560fbdf 2025-06-17 CrazySpottedDove 加快马利克和兽王升级速度
a67085b 2025-06-17 CrazySpottedDove 给熊猫多数技能增加无敌帧；熊猫获得常驻传送
babf829 2025-06-17 CrazySpottedDove 修复秒杀大王的技能就绪显示问题
f329253 2025-06-17 CrazySpottedDove 为熊猫添加喝酒提升攻击力，酒后加快冷却的效果
7a597d2 2025-06-17 CrazySpottedDove 加强熊猫
f10b5e9 2025-06-17 CrazySpottedDove 统一了create_attack_damage的效果
08d8028 2025-06-17 CrazySpottedDove 允许熊猫的增伤对自己生效
8625006 2025-06-16 CrazySpottedDove 提升熊猫的升级速度
d23d3b7 2025-06-16 CrazySpottedDove 提升莉莉丝的升级速度
facf89b 2025-06-16 CrazySpottedDove 提升猴子的升级速度
9f459e8 2025-06-16 CrazySpottedDove 提升兽王升级速度，加强女巫
fccd3db 2025-06-16 CrazySpottedDove 添加鬼侍低血量减伤
